pk_reference_id,fk_ref_source_id,reference_authors,reference_year,chapter_article_title,volume,pages,data_source,verify
1963,286,"Gilbertson, R.L.",1979,,9,51-89,Ginns,TRUE
1964,281,"Gilbertson, R.L., Budington, A.B.",1970,,62,673-678,Ginns,TRUE
1965,275,"Gilbertson, R.L., Lindsay, J.P.",1989,"North American Species of Amylocorticium (Aphyllophorales, Corticiaceae), a Genus of Brown Rot Fungi",49,138-146,Martin,TRUE
1966,286,"Gilbertson, R.L., Cummins, G.B., Darnell, E.D.",1979,,10,49-92,Ginns,TRUE
1967,53,"Gill, C.C.",1964,Barley Yellow Dwarf Virus in Manitoba in 1964,44,232,Martin,TRUE
1968,48,"Gill, C.C.",1967,Susceptibility of common and durum spring wheats to Barley Yellow Dwarf Virus,47,571-576,Martin,TRUE
1969,312,"Gill, C.C.",1967,"Oat Necrotic Mottle, A New Virus Disease in Manitoba",57,302-307,Martin,TRUE
1970,312,"Gill, C.C.",1967,Transmission of Barley Yellow Dwarf Virus Isolates from Manitoba by Five Species of Aphids,57,713-718,Martin,TRUE
1971,312,"Gill, C.C.",1970,Epidemiology of Barley Yellow Dwarf in Manitoba and Effect of the Virus on Yield of Cereals,60,1826-1831,Martin,TRUE
1972,315,"Gill, C.C.",1975,An epidemic of Barley Yellow Dwarf in Manitoba and Saskatchewan in 1974,59,814-818,Martin,TRUE
1973,46,"Gill, C.C.",1980,Some properties of the protein and nucleic acid of oat necrotic mottle virus,2,86-89,Martin,TRUE
1974,317,"Gill, C.C.",1980,Assessment of Losses on Spring Wheat Naturally Infected with Barley Yellow Dwarf Virus,64(2),197-203,Martin,TRUE
1975,48,"Gill, C.C., Lawrence, C.H., Chiasson, T.C.",1971,"Prevalence of Barley Yellow Dwarf on cereals in New Brunswick in 1970, and effect on the virus on forage yield of oats",51,361-365,Martin,TRUE
1976,53,"Gill, C.C., Westdal, P.H.",1966,Virus diseases of cereals in the eastern part of the Canadian prairies in 1966,46,110-111,Martin,TRUE
1977,53,"Gill, C.C., Westdal, P.H.",1966,Virus diseases of cereals and vector populations in the Canadian prairies during 1965,46,18-19,Martin,TRUE
1978,53,"Gill, C.C., Westdal, P.H.",1967,Virus diseases of cereals and populations of vectors in the Canadian prairies in 1967,47,101-103,Martin,TRUE
1979,46,"Gillespie, T.J., Sutton, J.C.",1979,,1,95-99,Ginns,TRUE
1980,315,"Ginns, J.",1968,,52,579-580,Ginns,TRUE
1981,41,"Ginns, J.",1970,,48,1039-1043,Ginns,TRUE
1982,43,"Ginns, J.",1974,,4,143-146,Ginns,TRUE
1983,906,"Ginns, J.",1974,,42,,Ginns,TRUE
1984,906,"Ginns, J.",1974,,52,,Ginns,TRUE
1985,906,"Ginns, J.",1975,,68,,Ginns,TRUE
1986,41,"Ginns, J.",1976,,54,100-167,Ginns,TRUE
1987,906,"Ginns, J.",1976,,85,,Ginns,TRUE
1988,906,"Ginns, J.",1976,,86,,Ginns,TRUE
1989,41,"Ginns, J.",1978,,56,1953-1973,Ginns,TRUE
1990,25,"Ginns, J.",1979,,132,93-102,Ginns,TRUE
1991,906,"Ginns, J.",1980,,168,,Ginns,TRUE
1992,906,"Ginns, J.",1980,,169,,Ginns,TRUE
1993,906,"Ginns, J.",1980,,174,,Ginns,TRUE
1994,906,"Ginns, J.",1982,Athelopsis glaucina,231,1,Martin,TRUE
1995,308,"Ginns, J.",1982,,61,1-61,Ginns,TRUE
1996,308,"Ginns, J.",1982,"A monograph of the genus Coniophora (Aphyllophorales, Basidiomycetes)",61,1-61,Martin,TRUE
1997,281,"Ginns, J.",1982,Steccherinum oreophilum: cultural characters and occurrence in North America,74,20-25,Martin,TRUE
1998,38,"Ginns, J.",1982,,96,131-138,Ginns,TRUE
1999,38,"Ginns, J.",1982,"The Wood-inhabiting Fungus, Aleurodiscus dendroideus, sp. nov., and the Distinctions Between A. grantii and A. amorphus",96,131-138,Martin,TRUE
2000,286,"Ginns, J.",1983,,18,439-442,Ginns,TRUE
2001,286,"Ginns, J.",1984,Hericium coralloides N. Amer. auct. (= H. americanum sp. nov.) and the European H. alpestre and H. coralloides,20,39-43,Martin,TRUE
2002,286,"Ginns, J.",1984,Griseoporia a new genus for Hexagonia carbonaria (Polyporaceae),20,559-565,Martin,TRUE
2003,906,"Ginns, J.",1984,Helicogloea farinacea,286,1,Martin,TRUE
2004,41,"Ginns, J.",1985,Hericium in North America: cultural characteristics and mating behavior,63,1551-1563,Martin,TRUE
2005,371,"Ginns, J.",1986,The genus Dentipellis (Hericiaceae),16,33-45,Martin,TRUE
2006,906,"Ginns, J.",1986,Oedocephalum cristallinum,304,1,Martin,TRUE
2007,281,"Ginns, J.",1986,The genus Syzygospora (Heterobasidiomycetes: Syzygosporaceae),78,619-636,Martin,TRUE
2008,281,"Ginns, J.",1988,"Typification of Cordyceps canadensis and C. capitata, and a new species, C. longisegmentis",80,217-222,Martin,TRUE
2009,281,"Ginns, J.",1988,New genera and species of lignicolous Aphyllophorales,80,63-71,Martin,TRUE
2010,275,"Ginns, J.",1989,"Descriptions and Notes for Some Unusual North American Corticioid Fungi (Aphyllophorales, Corticiaceae)",49,129-137,Martin,TRUE
2011,281,"Ginns, J.",1990,"Aleurodiscus occidentalis sp. nov., A. thujae sp. nov., and the A. tsugae complex in North America",82,753-758,Martin,TRUE
2012,286,"Ginns, J.",1992,Reevaluation of reports of 15 uncommon species of Corticium from Canada and the United States,44,197-217,Martin,TRUE
2013,281,"Ginns, J., Clark, J.",1989,"Crustoderma longicystidia associated with decay of lumber in British Columbia, and the cultural features of C. dryina",81,921-926,Martin,TRUE
2014,41,"Ginns, J., Lowe, J.L.",1983,Macrohyporia extensa and its synonym Poria cocos,61,1672-1679,Martin,TRUE
2015,906,"Ginns, J., Egger, K.",1983,Sowerbyella imperialis,249,1,Martin,TRUE
2016,275,"Ginns, J., Weresub, L.K.",1976,,28,86-97,Ginns,TRUE
2017,41,"Ginns, J., Macrae, R.",1971,,49,899-902,Ginns,TRUE
2018,25,"Ginns, J., Sunhede, S.",1978,,131,167-173,Ginns,TRUE
2019,286,"Glawe, D.A.",1986,"Taxonomic notes on Diatrypella discoidea, Diatrypella decorata, and Diatrypella placenta",25,19-25,Martin,TRUE
2020,46,"Gnanamanickam, S.S., Ward, E.W.B.",1981,Pseudomonas glycinea on soybeans: a new race of the pathogen and variations in systemic symptoms,3,114,Martin,TRUE
2021,46,"Gnanamanickam, S.S., Ward, E.W.B.",1982,Characterization of Pseudomonas syringae strains causing disease symptoms on soybean,4,233-236,Martin,TRUE
2022,46,"Gnanamanickam, S.S., Ward, E.W.B.",1982,Bacterial blight of soybeans: a new race of Pseudomonas syringae pv. glycinea and variations in systemic symptoms,4,73-78,Martin,TRUE
2023,320,"Gochnauer, M.B., Sealy, L.J., Mccully, M.E.",1990,Do detached root-cap cells influence bacteria associated with maize roots?,13,793-801,Martin,TRUE
2024,314,"Gochnauer, M.B., Mccully, M.E., Labbé, H.",1989,Different populations of bacteria associated with sheathed and bare regions of roots of field-grown maize,114,"107-120, 1989",Martin,TRUE
2025,35,"Gochnauer, T.A., Hughes, S.J.",1976,,108,985-988,Ginns,TRUE
2026,662,"Gochnauer, T.A., Hughes, S.J., Corner, J.",1972,,17 (2),36-37,Ginns,TRUE
2027,300,"Godbout, C., Fortin, J.A.",1983,Morphological features of synthesized ectomycorrhizae of Alnus crispa and A. rugosa,94,249-262,Martin,TRUE
2028,280,"Godbout, C., Fortin, J.A.",1990,Cultural control of basidiome formatiom in Laccaria bicolor with container grown white pine seedlings.,94,1051-1058,Martin,TRUE
2029,340,"Goidanich, G.",1937,,26 (3-4),107-112,Conners,TRUE
2030,50,"Good, H.M.",1947,,25,137-154,Conners,TRUE
2031,41,"Good, H.M., Nelson, C.D.",1951,,29,215-223,Conners,TRUE
2032,41,"Good, H.M., Nelson, J.I.",1962,,40,615-624,Conners,TRUE
2033,41,"Good, H.M., Spanis, W.",1958,,36,421-437,Conners,TRUE
2034,41,"Good, H.M., Nelson, J.I.",1962,,40,615-627,Ginns,TRUE
2035,41,"Good, H.M., Basham, J.T., Kadzielawa, S.D.",1968,,46,27-36,Ginns,TRUE
2036,295,"Goodey, T.",1952,Eelworm Galls Mistaken for Ergot in Flowers of Canadian Grasses,169,456-457,Martin,TRUE
2037,3,"Gooding, G.V., Lapp, N.A., Wilson, L.G.",1982,Potato Leafroll Virus and Potato Virus Y in Seed Potatoes used to plant the North Carolina crop,59,125-129,Martin,TRUE
2038,46,"Goodman, D.M., Burpee, L.L.",1988,Biocontrol of dollarspot disease of creeping bentgrass,10,364,Martin,TRUE
2039,312,"Goodman, D.M., Burpee, L.L.",1991,Biological Control of Dollar Spot Disease of Creeping Bentgrass,81,1438-1446,Martin,TRUE
2040,46,"Goodwin, P.H., Annis, S.L.",1991,Employing the polymerase chain reaction to identify genetic variation within and between pathotypes of Leptosphaeria maculans,13,277,Martin,TRUE
2041,281,"Goos, R.D.",1969,,61,1048-1053,Ginns,TRUE
2042,281,"Goos, R.D.",1969,,61,52-56,Ginns,TRUE
2043,281,"Goos, R.D.",1985,A review of the anamorph genus Helicomyces,77,606-618,Martin,TRUE
2044,281,"Goos, R.D.",1986,A review of the anamorph genus Helicoma,78,744-761,Martin,TRUE
2045,281,"Goos, R.D.",1989,On the anamorph genera Helicosporium and Drepanospora,81,356-374,Martin,TRUE
2046,281,"Goos, R.D.",1990,Review of the anamorph genus Xenosporium,82,742-752,Martin,TRUE
2047,365,"Goos, R.D., Abdullah, S.K., Fisher, P.J., Webster, J.",1985,The anamorph genus Helicoon,84,423-435,Martin,TRUE
2048,365,"Goos, R.D., Abdullah, S.K., Fisher, P.J., Webster, J.",1986,The anamorph genus Helicoon,87,115-122,Martin,TRUE
2049,313,"Goossen, P. G., Sackston, W.E.",1964,,45,133,Ginns,TRUE
2050,50,"Gordon, W.L.",1944,,22,282-286,Conners,TRUE
2051,41,"Gordon, W.L.",1952,,30,209-251,Conners,TRUE
2052,41,"Gordon, W.L.",1954,,32,576-590,Conners,TRUE
2053,41,"Gordon, W.L.",1959,,37,257-290,Conners,TRUE
2054,323,"Gordon, W.L.",1961,,28,11,Conners,TRUE
2055,41,"Goree, H.",1974,,52,1265-1269,Ginns,TRUE
2056,41,"Gorham, E., Gordon, A.G.",1960,,38,307-312,Conners,TRUE
2057,53,"Gossen, B.D.",1988,"Snow mold of alfalfa in Saskatchewan, 1985-87",68,60,Martin,TRUE
2058,53,"Gossen, B.D.",1989,Snow mold and winter injury on alfalfa and other forage legumes in Saskatchewan in 1988,69,52,Martin,TRUE
2059,46,"Gossen, B.D.",1990,Forage yield loss in alfalfa caused by winter crown rot,12,334,Martin,TRUE
2060,53,"Gossen, B.D., Duncan, C.H.",1992,"Occurrence of Alfalfa mosaic virus on alfalfa in Saskatchewan, 1990",72,50,Martin,TRUE
2061,53,"Gossen, B.D., Regnier, D.",1991,Head and stem smut of grasses in 1990,71,88-89,Martin,TRUE
2062,53,"Gossen, B.D., Jesperson, G.",1988,Survey of irrigated alfalfa in Saskatchewan,68,61,Martin,TRUE
2063,53,"Gossen, B.D., Jesperson, G.",1989,Verticillium wilt and foliar diseases of irrigated alfalfa in Saskatchewan in 1988,69,50,Martin,TRUE
2064,53,"Gossen, B.D., Jesperson, G.D.",1990,"Verticillium wilt of irrigated alfalfa in Saskatchewan, 1987-89",70,129-131,Martin,TRUE
2065,317,"Gossen, B.D., Jesperson, G.D.",1990,"First Report of Ustilago bullata on Meadow Bromegrass in Saskatchewan, Canada",74,615,Martin,TRUE
2066,53,"Gossen, B.D., Smith, J.D.",1990,Survey of golf courses for winter injury in 1989,70,104,Martin,TRUE
2067,46,"Gossen, B.D., Morrall, R.A.A.",1983,Effect of ascochyta blight on seed yield and quality of lentils,5,168-173,Martin,TRUE
2068,46,"Gossen, B.D., Morrall, R.A.A.",1983,Effect of harvest conditions on seed quality reduction associated with ascochyta blight of lentils,5,206,Martin,TRUE
2069,46,"Gossen, B.D., Morrall, R.A.A.",1984,Seed quality loss at harvest due to ascochyta blight of lentil,6(3),233-237,Martin,TRUE
2070,46,"Gossen, B.D., Morrall, R.A.A.",1986,Transmission of Ascochyta lentis from infected lentil seed and plant residue,8,28-32,Martin,TRUE
2071,53,"Gossen, B.D., Reiter, W.W.",1988,"Notes on snow mold of recreational turf in Saskatchewan, 1985-87",68,134,Martin,TRUE
2072,53,"Gossen, B.D., Reiter, W.W.",1989,"Incidence and severity of snow molds on winter cereals in Saskatchewan, 1985-1988",69,17-19,Martin,TRUE
2073,46,"Gossen, B.D., Morrall, R.A.A.",1981,The role of stubble and seed borne inoculum in epidemic development of ascochyta blight of lentils,3,114,Martin,TRUE
2074,46,"Gossen, B.D., Sheard, J.W., Beauchamp, C.J., Morrall, R.A.A.",1986,Ascochyta lentis renamed Ascochyta fabae f.sp. lentis,8,154-160,Martin,TRUE
2075,312,"Goulden, C.H., Neatby, K.W., Welsh, J.N.",1928,,18,631-658,Conners,TRUE
2076,350,"Goulden, C.H., Newton, M., Brown, A.M.",1930,,11,9-25,Conners,TRUE
2077,48,"Gourley, C.O.",1963,,43,462-468,Conners,TRUE
2078,315,"Gourley, C.O.",1955,Green Petal of strawberry in Nova Scotia,39,808-809,Martin,TRUE
2079,53,"Gourley, C.O.",1961,,41,174,Ginns,TRUE
2080,48,"Gourley, C.O.",1962,,42,122-129,Ginns,TRUE
2081,48,"Gourley, C.O.",1963,,43,462-468,Ginns,TRUE
2082,53,"Gourley, C.O.",1965,Bacterioses of stone fruits in Nova Scotia,45,101-102,Martin,TRUE
2083,48,"Gourley, C.O.",1966,,46,531-536,Ginns,TRUE
2084,48,"Gourley, C.O.",1968,,48,267-272,Ginns,TRUE
2085,53,"Gourley, C.O.",1968,,48,32-36,Ginns,TRUE
2086,41,"Gourley, C.O.",1969,,47,945-950,Ginns,TRUE
2087,53,"Gourley, C.O.",1971,,51,135-137,Ginns,TRUE
2088,41,"Gourley, C.O.",1972,,50,49-51,Ginns,TRUE
2089,53,"Gourley, C.O.",1972,,52,85-87,Ginns,TRUE
2090,48,"Gourley, C.O.",1975,,55,439-442,Ginns,TRUE
2091,53,"Gourley, C.O.",1979,,59,15-17,Ginns,TRUE
2092,53,"Gourley, C.O.",1979,,59,18,Ginns,TRUE
2093,53,"Gourley, C.O.",1979,,59,80,Ginns,TRUE
2094,331,"Gourley, C.O.",1983,,32,75-295,Ginns,TRUE
2095,331,"Gourley, C.O.",1983,An annotated index of the fungi of Nova Scotia,32,75-293,Martin,TRUE
2096,48,"Gourley, C.O., Macnab, A.A.",1964,,44,544-549,Ginns,TRUE
2097,53,"Gourley, C.O., Craig, D.L.",1968,,48,93-94,Ginns,TRUE
2098,53,"Gourley, C.O., Harrison, K.A.",1961,The crown gall organism in Nova Scotia,41,297-298,Martin,TRUE
2099,53,"Gourley, C.O., Harrison, K.A.",1969,,49,22-26,Ginns,TRUE
2100,41,"Gourley, C.O., Nickerson, N.L.",1979,,57,1218-1219,Ginns,TRUE
2101,53,"Gourley, C.O., Delbridge, R.W.",1972,,52,97-98,Ginns,TRUE
2102,53,"Gourley, C.O., Delbridge, R.W.",1973,,53,79-82,Ginns,TRUE
2103,53,"Gourley, C.O., Lockhart, C.L., Layne, R.E.C.",1966,Fire blight of pear and some other hosts in Nova Scotia,46,139-142,Martin,TRUE
2104,53,"Gourley, C.O., Bishop, G.W., Craig, D.L.",1971,Susceptibility of some strawberry cultivars to green petal,51,129-130,Martin,TRUE
2105,369,"Govindu, H.C., Shaw, C.G.",1957,,25,236-251,Conners,TRUE
2106,281,"Gowan, S.P.",1990,Cliostomum (lichen-forming Ascomycotina) in North America and Europe,82,766-771,Martin,TRUE
2107,362,"Gowan, S.P., Brodo, I.M.",1988,"The Lichens of Fundy National Park, New Brunswick, Canada",91,255-325,Martin,TRUE
2108,362,"Goward, T.",1984,"Heterodermia sitchensis, a New Lichen from the Pacific Northwest of North America",87,366-368,Martin,TRUE
2109,362,"Goward, T.",1985,"Ahtiana, a New Lichen Genus in the Parmeliaceae",88,367-371,Martin,TRUE
2110,362,"Goward, T.",1988,"Hypogymnia oceanica, a New Lichen (Ascomycotina) from the Pacific Northwest of North America",91,229-232,Martin,TRUE
2111,6,"Goward, T., Ahti, T.",1983,"Parmelia hygrophila, a new lichen species from the Pacific Northwest of North America",20,9-13,Martin,TRUE
2112,312,"Graham, J.H., Luttrell, E.S.",1961,,51,680-693,Ginns,TRUE
2113,3,"Graham, K.M.",1955,,32,277-282,Conners,TRUE
2114,41,"Graham, K.M.",1955,,33,374-400,Conners,TRUE
2115,113,"Graham, K.M.",1963,,12,35-40,Conners,TRUE
2116,48,"Graham, K.M., Davidson, A.G.",1957,,37,385-391,Conners,TRUE
2117,41,"Graham, K.M., Wright, F.",1961,,39,995-996,Conners,TRUE
2118,312,"Graham, K.M., Hodgson, W.A.",1965,,55,73-75,Conners,TRUE
2119,312,"Graham, K.M., Dionne, L.A., Hodgson, W.A.",1961,,51,264-265,Conners,TRUE
2120,53,"Graham, K.M., Harrison, M.P., Smith, C.E.",1962,,42,205-207,Ginns,TRUE
2121,53,"Graham, K.M., Shoemaker, R.A., Colpitts, S.R.",1964,,44,113-117,Ginns,TRUE
2122,46,"Graham, M.B., Ebsary, B.A., Vrain, T.C., Webster, J.M.",1988,"Distribution of Xiphinema bricolensis and X. pacificum in vineyards of the Okanagan and Similkameen Valleys, British Columbia",10,259-262,Martin,TRUE
2123,1,"Granger, R.L.",1982,Pear growing in Quebec,124,43-50,Martin,TRUE
2124,313,"Granger, R.L., Plenchette, C., Furlan, V.",1983,Effect of a VA endomycorrhizal fungus (Glomus epigaeum) and a growth regulator (gibberellic acid) on the development and mineral content of an apple clone propagated in vitro,64,91,Martin,TRUE
2125,41,"Grant, W.F.",1962,,40,1355-1363,Conners,TRUE
2126,312,"Gray, A.B., Sackston, W.E.",1980,Interactions between Rhizobium leguminosarum and Fusarium solani f.sp. pisi in vitro and in vivo,70,462-463,Martin,TRUE
2127,41,"Gray, A.B., Sackston, W.E.",1985,Early stages of infection of resistant and susceptible sunflower seedlings by three races of Plasmopara halstedii,63,1725-1729,Martin,TRUE
2128,313,"Gray, B., Sackston, W.E.",1979,,60,163,Ginns,TRUE
2129,45,"Grayston, S.J., Germida, J.J.",1991,Sulfur-oxidizing bacteria as plant growth promoting rhizobacteria for canola,37,521-529,Martin,TRUE
2130,563,"Greaney, F.J.",1934,,171,,Conners,TRUE
2131,350,"Greaney, F.J.",1936,,16,608-613,Conners,TRUE
2132,312,"Greaney, F.J.",1946,,36,252-263,Conners,TRUE
2133,312,"Greaney, F.J., Machacek, J.E.",1933,,23,379-383,Conners,TRUE
2134,48,"Green, G.J., Knott, D.R.",1962,,42,163-168,Conners,TRUE
2135,312,"Green, G.J., Dickson, J.G.",1957,,47,75-79,Conners,TRUE
2136,41,"Green, G.J., Johnson, T.",1955,,33,197-201,Conners,TRUE
2137,41,"Green, G.J., Johnson, T.",1958,,36,351-355,Conners,TRUE
2138,48,"Green, G.J., Bendelow, V.M.",1961,,41,431-435,Conners,TRUE
2139,48,"Green, G.J., Knott, D.R., Watson, I.A., Pugsley, A.T.",1960,,40,524-538,Conners,TRUE
2140,53,"Green, G.J.",1963,,43,173-176,Ginns,TRUE
2141,53,"Green, G.J.",1963,,43,177-182,Ginns,TRUE
2142,53,"Green, G.J.",1963,,43,196,Ginns,TRUE
2143,41,"Green, G.J.",1964,,42,1653-1664,Ginns,TRUE
2144,53,"Green, G.J.",1965,,45,19-22,Ginns,TRUE
2145,53,"Green, G.J.",1965,,45,23-29,Ginns,TRUE
2146,53,"Green, G.J.",1966,,46,27-32,Ginns,TRUE
2147,53,"Green, G.J.",1967,,47,5-8,Ginns,TRUE
2148,53,"Green, G.J.",1968,,48,104-106,Ginns,TRUE
2149,53,"Green, G.J.",1968,,48,9-13,Ginns,TRUE
2150,53,"Green, G.J.",1969,,49,78-79,Ginns,TRUE
2151,53,"Green, G.J.",1969,,49,83-87,Ginns,TRUE
2152,53,"Green, G.J.",1971,,51,20-23,Ginns,TRUE
2153,53,"Green, G.J.",1972,,52,11-14,Ginns,TRUE
2154,53,"Green, G.J.",1972,,52,162-167,Ginns,TRUE
2155,53,"Green, G.J.",1974,,54,11-15,Ginns,TRUE
2156,53,"Green, G.J.",1975,,55,51-57,Ginns,TRUE
2157,53,"Green, G.J.",1976,,56,119-122,Ginns,TRUE
2158,53,"Green, G.J.",1976,,56,15-18,Ginns,TRUE
2159,53,"Green, G.J.",1978,,58,44-48,Ginns,TRUE
2160,53,"Green, G.J.",1979,,59,43-47,Ginns,TRUE
2161,46,"Green, G.J.",1980,,2,241-245,Ginns,TRUE
2162,46,"Green, G.J.",1981,"Physiologic races and incidence of Puccinia graminis on wheat, barley, and rye in Canada in 1980",3,223-227,Martin,TRUE
2163,46,"Green, G.J.",1981,Identification of physiologic races of Puccinia graminis f.sp. tritici in Canada,3,33-39.,Martin,TRUE
2164,46,"Green, G.J., Campbell, A.B.",1979,,1,3-11,Ginns,TRUE
2165,53,"Green, G.J., Samborski, D.J.",1961,,41,1-21,Ginns,TRUE
2166,53,"Green, G.J., Samborski, D.J.",1962,,42,1-18,Ginns,TRUE
2167,46,"Green, G.J., Martens, J.W.",1982,"Incidence and virulence of Puccinia graminis on wheat, barley, and rye in Canada in 1981",4,285-290,Martin,TRUE
2168,48,"Green, G.J., Mckenzie, R.I.H.",1964,,44,418-426,Ginns,TRUE
2169,48,"Green, G.J., Bendelow, V.M.",1961,,41,431-435,Ginns,TRUE
2170,53,"Green, G.J., Zillinsky, F.J., Clark, R.V., Samborski, D.J.",1962,,42,129-134,Ginns,TRUE
2171,48,"Green, G.T., Johnson, T., Welsh, J.N.",1961,,41,153165,Ginns,TRUE
2172,281,"Greene, H.C., Cummins, G.B.",1967,,59,47-57,Ginns,TRUE
2173,41,"Greenidge, K.N.H.",1953,,31,548-559,Conners,TRUE
2174,564,"Gremmen, J., Parmelee, J.A.",1973,,,,Ginns,TRUE
2175,45,"Grenville, D.J., Piché, Y., Peterson, R.L.",1985,Sclerotia as viable sources of mycelia for the establishment of ectomycorrhizae,31,1085-1088,Martin,TRUE
2176,315,"Griffin, H.D.",1964,,48,615,Ginns,TRUE
2177,118,"Griffin, H.D.",1965,,42,295-300,Ginns,TRUE
2178,41,"Griffin, H.D.",1968,,46,689-718,Ginns,TRUE
2179,41,"Griffin, H.D.",1969,,47,761-771,Ginns,TRUE
2180,118,"Gross, H.L.",1969,,45,326,Ginns,TRUE
2181,43,"Gross, H.L.",1978,,8,47-53,Ginns,TRUE
2182,118,"Gross, H.L.",1983,Negligible Cull and Growth Loss of Jack Pine Associated with Globose Gall Rust,59,308-311,Martin,TRUE
2183,118,"Gross, H.L.",1984,Defect Associated with Eutypella Canker of Maple,60,15-17,Martin,TRUE
2184,118,"Gross, H.L.",1984,Impact of Eutypella canker on the Maple Resource of the Owen Sound and Wingham Forest Districts,60,18-21,Martin,TRUE
2185,327,"Gross, H.L.",1985,White Pine Blister Rust: a discussion of the disease and hazard zones for Ontario,116 (suppl.),72-79,Martin,TRUE
2186,43,"Gross, H.L., Ek, A.R., Patton, R.F.",1980,,10,190-198,Ginns,TRUE
2187,117,"Gross, H.L., Ek, A.R., Patton, R.F.",1983,Site Character and Infection Hazard for the Sweetfern Rust Disease in Northern Ontario,29,771-778,Martin,TRUE
2188,43,"Gross, H.L., Patton, R.F., Ek, A.R.",1980,,10,199-208,Ginns,TRUE
2189,41,"Groth, J.V.",1975,,53,2233-2239,Ginns,TRUE
2190,281,"Groves, J.W.",1936,,28,451-462,Conners,TRUE
2191,281,"Groves, J.W.",1937,,29,66-80,Conners,TRUE
2192,281,"Groves, J.W.",1938,,30,416-430,Conners,TRUE
2193,281,"Groves, J.W.",1938,,30,46-53,Conners,TRUE
2194,50,"Groves, J.W.",1939,,17,125-143,Conners,TRUE
2195,281,"Groves, J.W.",1940,,32,112-123,Conners,TRUE
2196,281,"Groves, J.W.",1941,,33,510-522,Conners,TRUE
2197,281,"Groves, J.W.",1943,,35,459-464,Conners,TRUE
2198,281,"Groves, J.W.",1943,,35,604-609,Conners,TRUE
2199,281,"Groves, J.W.",1946,,38,351-431,Conners,TRUE
2200,281,"Groves, J.W.",1947,,39,328-333,Conners,TRUE
2201,41,"Groves, J.W.",1952,,30,571-651,Conners,TRUE
2202,41,"Groves, J.W.",1954,,32,116-144,Conners,TRUE
2203,565,"Groves, J.W.",1957,,,,Conners,TRUE
2204,566,"Groves, J.W.",1962,,1112,,Conners,TRUE
2205,50,"Groves, J.W., Skolko, A.J.",1944,,22,217-234,Conners,TRUE
2206,50,"Groves, J.W., Skolko, A.J.",1945,,23,94-104,Conners,TRUE
2207,50,"Groves, J.W., Skolko, A.J.",1946,,24,74-80,Conners,TRUE
2208,281,"Groves, J.W., Leach, A.M.",1949,,41,59-76,Conners,TRUE
2209,41,"Groves, J.W., Bowerman, C.A.",1955,,33,577-589,Conners,TRUE
2210,41,"Groves, J.W., Bowerman, C.A.",1955,,33,591-594,Conners,TRUE
2211,281,"Groves, J.W., Wells, D.E.",1956,,48,865-871,Conners,TRUE
2212,41,"Groves, J.W., Elliott, M.E.",1961,,39,215-230,Conners,TRUE
2213,281,"Groves, J.W.",1940,,32,736-751,Ginns,TRUE
2214,41,"Groves, J.W.",1954,,32,116-144,Ginns,TRUE
2215,41,"Groves, J.W.",1965,,43,1195-1276,Ginns,TRUE
2216,41,"Groves, J.W.",1965,,43,1195-1276,Conners,TRUE
2217,41,"Groves, J.W.",1967,,45,169-181,Ginns,TRUE
2218,41,"Groves, J.W.",1968,,46,1273-1278,Ginns,TRUE
2219,281,"Groves, J.W.",1968,,60,718-719,Ginns,TRUE
2220,41,"Groves, J.W.",1969,,47,1319-1331,Ginns,TRUE
2221,50,"Groves, J.W., Skolko, A.J.",1944,,22,190-199,Ginns,TRUE
2222,281,"Groves, J.W., Loveland, C.A.",1953,,45,415-425,Ginns,TRUE
2223,28,"Groves, J.W., Elliott, M.E.",1961,,10D,150-156,Ginns,TRUE
2224,41,"Groves, J.W., Elliott, M.E.",1961,,39,215-230,Ginns,TRUE
2225,120,"Groves, J.W., Elliott, M.E.",1969,,9,29-36,Ginns,TRUE
2226,341,"Groves, J.W., Elliott, M.E.",1971,,8,22-30,Ginns,TRUE
2227,38,"Groves, J.W., Hoare, S.C.",1953,,67,95-102,Ginns,TRUE
2228,38,"Groves, J.W., Hoare, S.C.",1954,,68,1-8,Ginns,TRUE
2229,38,"Groves, J.W., Thomson, S.C.",1955,,69,44-51,Ginns,TRUE
2230,38,"Groves, J.W., Thomson, S.C., Pantidou, M.",1958,,72,133-138,Ginns,TRUE
2231,281,"Gruen, H.E.",1991,Effects of grafting on stipe elongation and pileus expansion in the mushroom Flammulina velutipes,83,480-491,Martin,TRUE
2232,46,"Gugel, R.K., Morrall, R.A.A.",1984,Inoculum-disease relationships in sclerotinia stem rot of canola,6(3),262,Martin,TRUE
2233,46,"Gugel, R.K., Morrall, R.A.A.",1986,Inoculum-disease relationships in sclerotinia stem rot of rapeseed in Saskatchewan,8,89-96,Martin,TRUE
2234,46,"Gugel, R.K., Yitbarek, S.M., Verma, P.R., et al.",1986,Anastomosis grouping of Rhizoctonia isolates and importance of organisms associated with root rot of canola in the Peace River region of Alberta,8,349-350,Martin,TRUE
2235,46,"Gugel, R.K., Yitbarek, S.M., Verma, P.R., et al.",1987,Etiology of the rhizoctonia root rot complex of canola in the Peace River region of Alberta,9,119-128,Martin,TRUE
2236,313,"Gumedzoe, M., Asselin, A.",1982,Le virus de la mosaïque de la tomate au Québec,63,32,Martin,TRUE
2237,313,"Guttman, S., Sackston, W.E.",1979,,60,163,Ginns,TRUE
